,file,Name,Parties,First Party,Second Party,Agreement Date,Effective Date,Expiration Date,Notice Period,Anti-Assignment,Amount,Condition for termination of contract,Limit the ability of a party to transfer the license being granted to a third party,File,first_party_location,second_party_location
170,GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.8_11951679_EX-10.8_Service Agreement.docx,SPONSORSHIP AND SERVICES AGREEMENT,"['HOF Village, LLC', 'National Football Museum, Inc., d/b/a Pro Football Hall of Fame', 'Constellation NewEnergy, Inc.']",HOFV,Constellation,"December 19, 2018","December 19, 2018","December 31, 2028",sixty (60) days,Yes,[***],"A party shall be in default hereunder if any of the following events shall occur (each of such events being an “Event of Default”): Such Party fails to perform timely any of its material obligations hereunder and such default shall continue for a period of sixty (60) days following receipt by such Party of written notice from the other Party specifying such default; provided that, if the default specified in such notice is curable but of a nature such that it cannot be cured through the exercise of reasonable diligence within the sixty (60) day cure period, then such sixty (60) day cure period shall be extended to a period as is reasonable (but in no event more than sixty (60) days, subject to delay due to force majeure) to cure such default pursuant to a mutually agreed plan of cure, provided that the non-performing Party has proceeded at all times and is continuing to proceed in a diligent and reasonable manner to cure; Such Party becomes insolvent, or takes the benefit of any present or future insolvency or bankruptcy statute, or makes a general assignment for the benefit of creditors, or files a voluntary petition in bankruptcy or a petition or answer seeking an arrangement, reorganization or readjustment of its indebtedness under the Federal bankruptcy laws or under any law or statute of the United States or any state thereof, or consents to the appointment of a receiver, trustee or liquidator of all or substantially all of its property; By court order or decree such Party is adjudged bankrupt or an order is made approving a petition filed by any of its creditors or by any of its stockholders or partners seeking its reorganization or the readjustment of its indebtedness under the Federal bankruptcy laws or under any law or statute of the United States or any state thereof; An involuntary petition under any bankruptcy or insolvency law, or an action under present or future insolvency law or statute, is filed against such Party and is not dismissed or stayed within sixty (60) days after the filing thereof; or Such Party sells, conveys, assigns or otherwise transfers all or substantially all of its assets (other than to one of its affiliates in the case of an HOF Entity) in breach of Section 6.2.",Yes,GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.8_11951679_EX-10.8_Service Agreement.docx,Ohio,Delaware
171,FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development Agreement.docx,JOINT DEVELOPMENT AGREEMENT,"['ExxonMobil Research and Engineering Company', 'FuelCell Energy, Inc.']",ExxonMobil Research and Engineering Company,"FuelCell Energy, Inc.","October 31, 2019","October 31, 2019",,60 days,Yes,"$45,000,000 USD","The contract can be terminated for failure to perform, change in control, bankruptcy, or with a 60-day written notice by either party.",Yes,FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development Agreement.docx,New Jersey,Connecticut
172,"GWG HOLDINGS, INC. - ORDERLY MARKETING AGREEMENT.docx",ORDERLY MARKETING AGREEMENT,"['GWG Holdings, Inc.', 'THE TRUST ADVISORS TO THE SELLER TRUSTS LISTED ON SCHEDULE A HERETO']","GWG Holdings, Inc.",THE TRUST ADVISORS TO THE SELLER TRUSTS LISTED ON SCHEDULE A HERETO,"December 27, 2018","December 27, 2018",first anniversary of the Effective Date,45 days,Yes,,This OMA may be terminated with or without cause at any time after the Effective Date and without liability or continuing obligation by any of the Parties hereto (i) by mutual written agreement of all of the Parties; and (ii) in writing by the Trust Advisors in their sole discretion.,Yes,"GWG HOLDINGS, INC. - ORDERLY MARKETING AGREEMENT.docx",Delaware,Texas
173,GridironBionutrientsInc_20171206_8-K_EX-10.1_10972555_EX-10.1_Endorsement Agreement.docx,Endorsement Agreement,"['National Football League Alumni - Northern California Chapter (NFLA-NC)', 'National Football League Alumni, Inc. (NFLA)', 'Food For Athletes, Inc. / Gridiron BioNutrients™ (Company)']",NFLA-NC,Company,"October 30, 2017","November 1st, 2017","November 2nd, 2020",30 days,No,"$35,000.00USD","The non-defaulting party may terminate this Agreement if either party fails to make any payment or observe or perform any of the covenants, agreements or obligations under this Agreement.",Yes,GridironBionutrientsInc_20171206_8-K_EX-10.1_10972555_EX-10.1_Endorsement Agreement.docx,California,Nevada
174,"GSITECHNOLOGYINC_11_16_2009-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT between SONY ELECTRONICS INC. and GSI TECHNOLOGY, INC..docx",INTELLECTUAL PROPERTY AGREEMENT,"['SONY ELECTRONICS INC.', 'GSI TECHNOLOGY, INC.']","GSI TECHNOLOGY, INC.",SONY ELECTRONICS INC.,"August 28, 2009",Closing Date,the last date of expiration of the SRAM Intellectual Property rights licensed under this IP Agreement,thirty (30) days,Yes,Purchase Price,"Should either Party fail to observe faithfully and materially perform each of the material obligations assumed by it in this IP Agreement for thirty (30) days after its attention has been directed to any such breach by notice in writing from the other Party, the non-breaching Party shall, at its option, have the right to terminate the license granted by it under this Agreement, such termination to be effected by serving notice in writing upon the breaching Party to that effect on or after the expiration of such period of thirty (30) days.",Yes,"GSITECHNOLOGYINC_11_16_2009-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT between SONY ELECTRONICS INC. and GSI TECHNOLOGY, INC..docx",Delaware,Delaware
175,HealthcareIntegratedTechnologiesInc_20190812_8-K_EX-10.1_11776966_EX-10.1_Reseller Agreement.docx,WALABOT-HOME RESELLER AGREEMENT,"['Vayyar Imaging Ltd.', 'Inde Living Holdings, Inc.']",Vayyar Imaging Ltd.,"Inde Living Holdings, Inc.","July 31, 2019","July 31, 2019",,3 months,Yes,*** per Product unit + $*** for shipment and tax,Either Party may terminate this Agreement without cause upon written notice to the other Party of at least 3 months.,Yes,HealthcareIntegratedTechnologiesInc_20190812_8-K_EX-10.1_11776966_EX-10.1_Reseller Agreement.docx,Israel,USA
176,FIBROGENINC_10_01_2014-EX-10.11-COLLABORATION AGREEMENT.docx,COLLABORATION AGREEMENT,"['ASTELLAS PHARMA INC.', 'FIBROGEN, INC.']",FibroGen,Astellas,"June 1, 2005","June 1, 2005",,[ * ],Yes,U.S. $ [ * ],"FG may forthwith terminate this Agreement in the event Astellas fails to make any payment due under Articles 6, 9 or 14, within [ * ] following receipt of written notice of such default, or materially breaches its obligations under Articles 8 or 14, and fails to cure such breach within [ * ] following receipt of written notice of such default.",Yes,FIBROGENINC_10_01_2014-EX-10.11-COLLABORATION AGREEMENT.docx,California,Japan
177,DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement.docx,Agreement,"['DOVA PHARMACEUTICALS, INC.', 'VALEANT PHARMACEUTICALS NORTH AMERICA LLC']",Dova,Valeant,"September 26, 2018","September 26, 2018",,[***],Yes,[***],A Party shall have the right to terminate this Agreement before the end of the Term as follows by a Party upon written notice to the other Party in the event of a material breach of this Agreement by such other Party where such breach is not cured (if able to be cured) within [***] following such other Party’s receipt of written notice of such breach (and any such termination shall become effective at the end of such [***] period unless the breaching Party has cured such breach prior to the expiration of such [***] period),Yes,DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement.docx,Delaware,Delaware
178,HerImports_20161018_8-KA_EX-10.14_9765707_EX-10.14_Maintenance Agreement.docx,Software Maintenance Agreement,"['Leader Act Ltd HK', 'EZJR, Inc.']",Leader Act Ltd HK,"EZJR, Inc.","October 13, 2016","October 13, 2016",,,No,"3,000,000 shares of EZJR’s unregistered restricted common stock",The contract does not specify conditions for termination.,No,HerImports_20161018_8-KA_EX-10.14_9765707_EX-10.14_Maintenance Agreement.docx,Nevada,Nevada
179,ExactSciencesCorp_20180822_8-K_EX-10.1_11331629_EX-10.1_Promotion Agreement.docx,AGREEMENT,"['Pfizer Inc.', 'Exact Sciences Corporation']",Pfizer Inc.,Exact Sciences Corporation,"August 21, 2018","August 21, 2018","December 31, 2021",six (6) months,Yes,,"This Agreement may be terminated at any time by either Party effective upon thirty (30) days prior written notice if the other Party fails to make the required investments pursuant to Sections 3.5 or 3.6, as applicable, or pay any amount properly due under this Agreement.",Yes,ExactSciencesCorp_20180822_8-K_EX-10.1_11331629_EX-10.1_Promotion Agreement.docx,New York,Wisconsin
180,"FIDELITYNATIONALINFORMATIONSERVICES,INC_08_05_2009-EX-10.3-INTELLECTUAL PROPERTY AGREEMENT.docx",AGREEMENT,"['EQUIFAX INC.', 'CERTEGY INC.']",EQUIFAX INC.,CERTEGY INC.,"JUNE 30, 2001",,,,may,"$1,100,000.00","The contract does not specify conditions for termination, but it does mention that the confidentiality covenants will continue until the termination of the relationship between Equifax and Certegy.",Yes,"FIDELITYNATIONALINFORMATIONSERVICES,INC_08_05_2009-EX-10.3-INTELLECTUAL PROPERTY AGREEMENT.docx",Georgia,Georgia
181,HfEnterprisesInc_20191223_S-1_EX-10.22_11931299_EX-10.22_Development Agreement.docx,Agreement,"['Document Security Systems, Inc.', 'HotApp International Ltd.']","Document Security Systems, Inc.",HotApp International Ltd.,"March 1, 2018","March 1, 2018",,30-days,Yes,"US $23,000 per month","Either party may terminate this Agreement prior to expiration of the Term: (i) upon thirty (30) days prior written notice, or (ii) immediately upon written notice to the other party if the other party breaches certain conditions such as insolvency, bankruptcy, or breach of intellectual property rights.",Yes,HfEnterprisesInc_20191223_S-1_EX-10.22_11931299_EX-10.22_Development Agreement.docx,New York,Hong Kong
182,HertzGroupRealtyTrustInc_20190920_S-11A_EX-10.8_11816941_EX-10.8_Trademark License Agreement.docx,TRADEMARK LICENSE AGREEMENT,"['HERTZ INVESTMENT GROUP, LLC', 'HERTZ GROUP REALTY TRUST, INC.']","HERTZ INVESTMENT GROUP, LLC","HERTZ GROUP REALTY TRUST, INC.","September ___, 2019","September ___, 2019",,thirty (30) days,Yes,royalty-free,Either Party may terminate this Agreement by giving the other Party thirty (30) days' prior written notice.,Yes,HertzGroupRealtyTrustInc_20190920_S-11A_EX-10.8_11816941_EX-10.8_Trademark License Agreement.docx,CA,CA
183,HOLIDAYRVSUPERSTORESINC_04_15_2002-EX-10.13-ENDORSEMENT AGREEMENT.docx,ENDORSEMENT AGREEMENT,"['Holiday RV Superstores, Inc.', 'Affinity Group, Inc.']","Holiday RV Superstores, Inc.","Affinity Group, Inc.",20th day of March 2002,20th day of March 2002,third anniversary date of this Agreement,60 days,Yes,"$1,500,000",Either Party may terminate this Agreement at any time in the event of a material breach by the other Party which remains uncured after thirty days written notice thereof.,Yes,HOLIDAYRVSUPERSTORESINC_04_15_2002-EX-10.13-ENDORSEMENT AGREEMENT.docx,Florida,California
184,"HALITRON,INC_03_01_2005-EX-10.15-SPONSORSHIP AND DEVELOPMENT AGREEMENT.docx",AGREEMENT,"['TEKNIK DIGITAL ARTS INC.', 'RICK SMITH ENTERPRISES']",TEKNIK DIGITAL ARTS INC.,RICK SMITH ENTERPRISES,"August 6, 2004","August 6, 2004",,,Yes,"25,000 Restricted common shares of TDA, 25% royalty of net TDA net sales price","The contract can be terminated upon expiration of the term, which is a three (3) year period commencing on the Effective Date.",Yes,"HALITRON,INC_03_01_2005-EX-10.15-SPONSORSHIP AND DEVELOPMENT AGREEMENT.docx",Arizona,Arizona
185,HPILHOLDING_01_07_2015-EX-99.1-COOPERATION AGREEMENT.docx,COOPERATION AGREEMENT,"['HPIL ENERGYTECH Inc.', 'GINARES GROUP AG']",HPIL ENERGYTECH Inc.,GINARES GROUP AG,"January 5, 2015",,,30 days,"The rights and obligations provided by this Agreement shall
not be assignable by any Party.",There is no payment or compensation contemplated under this Agreement.,The Parties may terminate its performance of related obligations under this Agreement within thirty (30) days of receipt by the Party of written termination notice.,Yes,HPILHOLDING_01_07_2015-EX-99.1-COOPERATION AGREEMENT.docx,USA,Switzerland
186,GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement1.docx,Agreement,"['TWENTIETH CENTURY FOX LICENSING & MERCHANDISING', 'Sorrent, Inc.']",Fox,Licensee,"December 16, 2004","December 16, 2004","December 31, 2006",30 days,Yes,US$*****,"The contract can be terminated due to bankruptcy, transfer or change of control, unauthorized uses, failure to exploit, failure to obtain approvals, or other defaults.",Yes,GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement1.docx,California,California
187,HealthcentralCom_19991108_S-1A_EX-10.27_6623292_EX-10.27_Co-Branding Agreement.docx,CO-BRANDING CONTENT AGREEMENT,"['MEDIALINX INTERACTIVE, L.P.', 'HEALTHCENTRAL.COM INC.']",MLX,HCI,30th day of June 1999,"September 1st, 1999",,30 days,Yes,[*] US per annum,"Either Party may terminate this Agreement upon 30 days prior written notice to the other Party if such other Party breaches any material term of this Agreement, unless such breach is cured within 30 days; or if any of the terms of this Agreement that require mutual approval are not mutually agreed to;",Yes,HealthcentralCom_19991108_S-1A_EX-10.27_6623292_EX-10.27_Co-Branding Agreement.docx,Ontario,California
188,HEALTHGATEDATACORP_11_24_1999-EX-10.1-HOSTING AND MANAGEMENT AGREEMENT - Escrow Agreement.docx,Escrow Agreement,"['HealthGate Data Corp', 'Blackwell Science Ltd', 'NCC Escrow International Limited']",HealthGate Data Corp,Blackwell Science Ltd,,,,60 days,Yes,,The agreement will automatically terminate if the License Agreement has expired or has been lawfully terminated.,Yes,HEALTHGATEDATACORP_11_24_1999-EX-10.1-HOSTING AND MANAGEMENT AGREEMENT - Escrow Agreement.docx,UK,USA
189,ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.docx,Outsourcing Contract,"['The HUANG JIA Country CLUB and Recreation Inc.', 'Chang Chen-Bin Architects Office']",The HUANG JIA Country CLUB and Recreation Inc.,Chang Chen-Bin Architects Office,"October 29, 2015",,,,,12 million NTD,"In case the Contract cannot be performed due to any reason other than the architect herein, the client agrees the fees paid will not be refunded.",,ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.docx,Taipei,Taichung
190,"FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement.docx",Agreement,"['F. Hoffmann-La Roche Ltd', 'Hoffmann-La Roche Inc.', 'Foundation Medicine, Inc.']",F. Hoffmann-La Roche Ltd,"Foundation Medicine, Inc.",,Effective Date,,[…***…],Affiliates,[…***…],A party can terminate the contract if the other party is in material breach of any of its material obligations under the applicable Work Stream.,Yes,"FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement.docx",Switzerland,Massachusetts
191,"HERTZGLOBALHOLDINGS,INC_07_07_2016-EX-10.4-INTELLECTUAL PROPERTY AGREEMENT.docx",INTELLECTUAL PROPERTY AGREEMENT,"['THE HERTZ CORPORATION', 'HERTZ SYSTEM, INC.', 'HERC RENTALS INC.']",THE HERTZ CORPORATION,"HERTZ SYSTEM, INC.","June 30, 2016","June 30, 2016",,thirty (30) days,Yes,,The agreement can be terminated upon written notice in the event of a material breach of the agreement or any of the ancillary agreements exhibited thereto.,Yes,"HERTZGLOBALHOLDINGS,INC_07_07_2016-EX-10.4-INTELLECTUAL PROPERTY AGREEMENT.docx",Florida,Florida
192,IntegrityFunds_20200121_485BPOS_EX-99.E UNDR CONTR_11948727_EX-99.E UNDR CONTR_Service Agreement.docx,DISTRIBUTION AND SERVICES AGREEMENT,"['Integrity Short Term Government Fund', 'Integrity Funds Distributor, LLC']",Integrity Short Term Government Fund,"Integrity Funds Distributor, LLC","January 18, 2020","January 18, 2020","January 18, 2022",60 days,Yes,,"This Agreement is terminable with respect to the Fund, without penalty, (a) on 60 days’ written notice, by vote of a majority of the Qualified Trustees or by vote of a majority (as defined in the 1940 Act) of the outstanding voting securities of the Fund or (b) on 90 days’ written notice by Integrity.",Yes,IntegrityFunds_20200121_485BPOS_EX-99.E UNDR CONTR_11948727_EX-99.E UNDR CONTR_Service Agreement.docx,Null,Null
193,HUBEIMINKANGPHARMACEUTICALLTD_09_19_2006-EX-10.1-OUTSOURCING AGREEMENT.docx,Agreement,"['DGT Corp.', 'Dolphin Industries Limited']",DGT,Dolphin,"JUNE 1st, 2006",Date of Commencement,,,Yes,"USD10,000",DGT shall be entitled to terminate this Agreement if Dolphin fails to meet its requirements and material obligation hereunder and only after DGT have given Dolphin written notice of such failure and only after Dolphin has not rectified such failure within 10 days of the notice.,Yes,HUBEIMINKANGPHARMACEUTICALLTD_09_19_2006-EX-10.1-OUTSOURCING AGREEMENT.docx,Canada,Hong Kong
194,"INTELLIGENTHIGHWAYSOLUTIONS,INC_01_18_2018-EX-10.1-Strategic Alliance Agreement.docx",Strategic Alliance Agreement,"['Bravatek Solutions, Inc.', 'Fazync LLC']","Bravatek Solutions, Inc.",Fazync LLC,"January 10, 2018","January 10, 2018",,ninety (90) days,Yes,10% to 20% of project revenue,This Agreement may also be terminated by either party upon ninety (90) days written notice.,Yes,"INTELLIGENTHIGHWAYSOLUTIONS,INC_01_18_2018-EX-10.1-Strategic Alliance Agreement.docx",Texas,California
